FID,TYPE,CITY,STATE,ZIP,LATITUDE,LONGITUDE
41565,Authorized Ship Center,Morrisville,PA,19067,40.203853,-74.80807800000001
41566,Self-Service,Bridgewater,NJ,8807,40.588127,-74.608661
41567,Self-Service,Marlton,NJ,8053,39.886809,-74.922084
41568,Self-Service,Fairless Hills,PA,19030,40.182983,-74.859408
41569,Self-Service,Somerville,NJ,8876,40.576876,-74.62027900000001
41570,Self-Service,Fairless Hills,PA,19030,40.187343,-74.86671899999999
41571,Self-Service,Marlton,NJ,8053,39.886144,-74.908113
41572,Self-Service,Sparta,NJ,7871,41.041457,-74.630442
41573,Self-Service,Bridgewater,NJ,8807,40.581152,-74.603818
41574,Self-Service,Raritan,NJ,8869,40.576856,-74.631099
41575,Self-Service,Yardley,PA,19067,40.205577000000005,-74.86701500000001
41576,Self-Service,Marlton,NJ,8053,39.893733000000005,-74.923242
41577,Self-Service,Sparta,NJ,7871,41.030684,-74.637928
41578,Self-Service,Bridgewater,NJ,8807,40.581071,-74.603224
41579,Self-Service,Langhorne,PA,19047,40.186915,-74.878312
41580,Self-Service,Mount Laurel,NJ,8054,39.920787,-74.92779200000001
41581,Self-Service,Bridgewater,NJ,8807,40.579452,-74.605946
41582,Self-Service,Langhorne,PA,19047,40.183027,-74.875926
41583,Authorized Ship Center,Marlton,NJ,8053,39.895081,-74.876548
41584,Self-Service,Raritan,NJ,8869,40.574333,-74.63341
41585,Self-Service,Marlton,NJ,8053,39.894735,-74.878723
41586,Self-Service,Hackettstown,NJ,7840,40.853722,-74.829859
41587,Self-Service,Morrisville,PA,19067,40.198679999999996,-74.812278
41588,Authorized Ship Center,Maple Shade,NJ,8052,39.948972,-74.971643
41589,Self-Service,Langhorne,PA,19047,40.184482,-74.885212
41590,Self-Service,Branchburg,NJ,8876,40.607257000000004,-74.702776
41591,Self-Service,Moorestown,NJ,8057,39.970406,-74.97681700000001
41592,Self-Service,Bridgewater,NJ,8807,40.580593,-74.599877
41593,Self-Service,Fairless Hills,PA,19030,40.185749,-74.790683
41594,Self-Service,Hackettstown,NJ,7840,40.826432000000004,-74.83248
41595,Self-Service,Somerville,NJ,8876,40.57243,-74.622573
41596,Self-Service,Moorestown,NJ,8057,39.975963,-74.98986
41597,Self-Service,Langhorne,PA,19047,40.179782,-74.89993199999999
41598,Self-Service,Somerville,NJ,8876,40.571397,-74.610331
41599,Self-Service,Moorestown,NJ,8057,39.975167,-74.980562
41600,Self-Service,Morrisville,PA,19067,40.207907,-74.775437
41601,Self-Service,Andover,NJ,7860,41.036587,-74.67054499999999
41602,Self-Service,Langhorne,PA,19047,40.176341,-74.919398
41603,Self-Service,Moorestown,NJ,8057,39.978184999999996,-74.98835600000001
41604,Self-Service,Somerville,NJ,8876,40.569705,-74.61689799999999
41605,Self-Service,Sparta,NJ,7871,41.025428999999995,-74.63121899999999
41606,Self-Service,Moorestown,NJ,8057,39.947321,-74.953471
41607,Self-Service,Bridgewater,NJ,8807,40.579106,-74.594177
41608,Self-Service,Morrisville,PA,19067,40.176066999999996,-74.766572
41609,Self-Service,New Hope,PA,18938,40.361377000000005,-75.00538399999999
41610,Self-Service,Bridgewater,NJ,8807,40.579687,-74.593385
41611,Self-Service,Langhorne,PA,19047,40.191982,-74.86839499999999
41612,Self-Service,Mount Laurel,NJ,8054,39.935675,-74.957539
41613,Self-Service,Raritan,NJ,8869,40.568321999999995,-74.631295
41614,Self-Service,Philadelphia,PA,19116,40.103812,-75.00345
41615,Self-Service,Mount Laurel,NJ,8054,39.93488,-74.958158
41616,Self-Service,Bridgewater,NJ,8807,40.578812,-74.592022
41617,Self-Service,Trenton,NJ,8611,40.208124,-74.74855500000001
41618,Self-Service,New Hope,PA,18938,40.359320000000004,-74.976636
41619,Self-Service,Mount Laurel,NJ,8054,39.933149,-74.959193
